date,retail_sales_millions,mom_pct_change,yoy_pct_change,rolling_12m_avg,rolling_12m_std,year,month,is_recession
2004-12-01,324672,1.295394983152387,7.971347047907895,312244.9166666667,6791.300872284562,2004,12,False
2005-01-01,321272,-1.047210723437808,6.38392280615776,313851.5,6415.553267434343,2005,1,False
2005-02-01,325308,1.2562563808859784,7.039139233009228,315634.25,6375.603716513064,2005,2,False
2005-03-01,326179,0.2677462589300017,5.398890364525277,317026.5833333333,6722.246289318616,2005,3,False
2005-04-01,329124,0.9028784808341461,7.081644206430293,318840.4166666667,6812.159161894672,2005,4,False
2005-05-01,327233,-0.5745554866858682,5.189849817415015,320185.8333333333,6735.755175768705,2005,5,False
2005-06-01,337219,3.0516482139637535,9.08752713286125,322526.8333333333,7392.51449204992,2005,6,False
2005-07-01,339529,0.6850147826783282,8.934776261626464,324847.5,8022.454968853961,2005,7,False
2005-08-01,335605,-1.1557186573164624,7.844996015321737,326881.9166666667,7308.416896831763,2005,8,False
2005-09-01,336600,0.2964794922602376,6.033782123573772,328478.0833333333,7150.169590594334,2005,9,False
2005-10-01,336753,0.04545454545454852,5.738893982592086,330001.1666666667,6761.988395481309,2005,10,False
2005-11-01,339719,0.8807642396652771,5.989953825034311,331601.0833333333,6583.701093104961,2005,11,False
2005-12-01,339895,0.051807523276581335,4.688732012615815,332869.6666666667,6593.809318849887,2005,12,False
2006-01-01,349664,2.874122890892772,8.837371448492238,335235.6666666667,7126.32649640415,2006,1,False
2006-02-01,347021,-0.7558684908941182,6.674597612109134,337045.0833333333,7133.005709165557,2006,2,False
2006-03-01,348357,0.38499111004810516,6.799334107959121,338893.25,6931.9846708783025,2006,3,False
2006-04-01,350072,0.49231104872300424,6.3647743707538895,340638.9166666667,6885.653774445414,2006,4,False
2006-05-01,348889,-0.33793048287209526,6.617914452393259,342443.5833333333,5805.93676504631,2006,5,False
2006-06-01,350795,0.5463055585014143,4.025870428415956,343574.9166666667,6014.292272403998,2006,6,False
2006-07-01,351916,0.3195598568964675,3.6482892477520235,344607.1666666667,6312.37295581885,2006,7,False
2006-08-01,353285,0.38901328726173023,5.2680979127247785,346080.5,6079.20321483769,2006,8,False
2006-09-01,351240,-0.5788527675955724,4.349376114081993,347300.5,5438.946998690641,2006,9,False
